index,price
0,36.195
1,36.374
2,36.374
3,36.374
4,36.113
5,36.068
6,36.0
7,35.881
8,35.795
9,35.795
10,35.795
11,35.795
12,35.712
13,35.607
14,35.788
15,35.788
16,35.607
17,35.607
18,35.607
19,35.784
20,35.607
21,35.566
22,35.5
23,35.6
24,35.5
25,35.6
26,35.6
27,35.7
28,35.706
29,35.778
30,35.7
31,35.7
32,35.7
33,35.7
34,35.778
35,35.707
36,35.506
37,35.506
38,35.506
39,35.507
40,35.574
41,35.505
42,35.595
43,35.595
44,35.507
45,35.5
46,35.5
47,35.5
48,35.5
49,35.5
50,35.5
51,35.5
52,35.5
53,35.148
54,35.118
55,35.0
56,35.099
57,35.125
58,35.129
59,35.123
60,35.126
61,35.129
62,35.163
63,35.1
64,35.162
65,35.161
66,35.152
67,35.162
68,35.161
69,35.101
70,35.149
71,35.101
72,35.0
73,35.0
74,35.081
75,35.153
76,35.128
77,35.081
78,35.0
79,35.0
80,34.996
81,34.859
82,34.859
83,34.976
84,34.784
85,34.784
86,34.784
87,34.742
88,34.729
89,34.776
90,34.74
91,34.772
92,34.643
93,34.556
94,34.556
95,34.513
96,34.51
97,34.5
98,34.5
99,34.5
100,34.5
101,34.499
102,34.499
103,34.47
104,34.378
105,34.343
106,34.34
107,34.01
108,34.0
109,34.0
110,34.0
111,34.0
112,34.0
113,34.0
114,34.0
115,33.601
116,33.974
117,33.973
118,33.973
119,34.0
120,33.993
121,33.973
122,33.972
123,33.002
124,33.002
125,33.969
126,33.001
127,33.001
128,33.001
129,33.001
130,33.953
131,33.953
132,33.953
133,33.005
134,33.005
135,33.005
136,33.005
137,33.005
138,33.944
139,33.015
140,33.015
141,33.931
142,33.931
143,33.793
144,33.793
145,33.024
146,30.246
147,30.0
148,30.0
149,31.487
150,31.881
151,31.489
152,31.0
153,30.728
154,31.853
155,31.875
156,32.5
157,32.49
158,33.034
159,32.7
160,32.7
161,32.999
162,33.199
163,32.709
164,32.709
165,33.192
166,32.522
167,32.465
168,32.271
169,32.3
170,32.234
