index,price
354,31.867
355,31.867
356,31.866
357,31.866
358,31.859
359,32.0
360,32.0
361,32.0
362,32.092
363,32.0
364,32.01
365,32.104
366,32.104
367,31.65
368,31.999
369,32.01
370,31.708
371,30.277
372,30.998
373,29.993
374,29.698
375,29.69
376,29.999
377,31.391
378,31.5
379,31.5
380,31.506
381,31.489
382,31.404
383,31.78
384,31.78
385,31.491
386,31.999
387,32.111
388,32.111
389,31.787
390,32.111
391,32.499
392,32.122
393,32.5
394,32.4
395,32.4
396,32.4
397,32.399
398,32.393
399,32.699
400,32.699
401,32.699
402,32.693
403,32.693
404,32.693
405,32.693
406,32.35
407,32.693
408,32.693
409,32.4
410,32.693
411,32.727
412,32.721
413,32.6
414,32.69
415,32.682
416,32.7
417,32.681
418,32.7
419,32.691
420,32.7
421,32.69
422,32.917
423,33.0
424,32.917
425,32.999
426,33.0
427,33.151
428,33.151
429,33.151
430,33.399
431,33.15
432,33.151
433,33.151
434,33.395
435,33.015
436,33.388
437,33.388
438,33.391
439,33.388
440,33.391
441,33.391
442,33.387
443,33.391
444,33.157
445,33.151
446,33.0
447,33.01
448,33.028
449,33.391
450,33.249
451,33.244
452,32.321
453,33.193
454,33.0
455,33.2
456,33.2
457,33.299
458,33.45
459,33.499
460,33.499
461,33.332
462,33.3
463,33.199
464,32.318
465,32.044
466,31.764
467,32.2
468,31.5
469,32.297
470,31.618
471,32.599
472,32.4
473,32.609
474,31.401
475,32.59
476,32.318
477,32.589
478,32.327
479,32.331
480,32.58
481,32.531
482,32.684
483,32.55
484,32.54
485,32.579
486,32.54
487,32.579
488,32.6
489,32.6
490,32.65349055
491,32.5
492,32.5
493,32.5
494,32.5
495,32.5
496,32.5
497,32.6
